MES_ANO;UF_PROCEDENCIA;CATEGORIA;QTD_MACHO;QTD_FEMEA
10/2019;MS;Galo;8349;0
10/2020;ES;Frango;3413484;0
10/2020;PA;Touro/Touruno;11;0
10/2020;PR;Frango;169845876;0
10/2020;PR;Suino Tipo Carne,;213362;167521
10/2020;SC;Porca Matrizeira;13279;0
10/2021;GO;Suíno;155960;141835
10/2021;MS;Galinha;119719;219555
10/2021;PR;Coelho;92;169
10/2021;PR;Ovino;438;174
10/2022;MT;Galinha;395;608731
11/2002;MG;Leitoa;80;0
11/2003;MS;Galinha;3450;0
11/2003;SP;Touro/Touruno;51;0
11/2004;GO;Ovino;196;13
11/2004;SC;Galinha;364928;0
11/2004;SP;Galinha De Postura;757286;0
11/2005;AM;Bovino;4008;2017
11/2005;MG;Galeto;3024;0
11/2006;GO;Suino;1332;1098
11/2006;PR;Novilhao;4390;0
11/2006;RS;Novilha Intermediaria;2277;0
11/2006;SC;Leitao;2355;0
11/2007;AL;Avestruz;40;0
11/2007;BA;Avestruz Fêmea;29;0
11/2008;PR;Novilhao;4178;0
11/2008;PR;Vaca;1488;0
11/2008;SC;Frango;70106972;0
11/2008;SC;Porco Nao Classificado;39157;0
11/2008;SP;Suino;2479;2632
11/2009;SC;Suino;148288;121238
11/2009;SE;Suino;98;77
11/2010;GO;Novilho Precoce;1477;0
11/2010;PR;Suino Tipo Carne,;108296;105884
11/2011;SC;Marreco;15232;0
11/2013;SC;Galinha;370118;0
11/2013;SP;Pato;1356;0
11/2014;GO;Bufalo;47;0
